address,property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,lat,long,property_age,school_rating,school_count,bart_count,median_income,hotness_score,supply_score,demand_score,malls_count,university_count
"6985 calistoga ln, dublin, ca 94568",Condo/Co-op,94568,905000,3,4,1994,0,80,454,388.0,37.733978,-121.872736,3,8,11,1,119637,83.72,94.25,73.19,0,0
"270 birch creek dr, pleasanton, ca 94566",Townhouse,94566,645000,2,2,1221,1237,143,528,379.0,37.663585,-121.864563,35,8,9,0,126782,80.07,79.57,80.57,1,0
"5324 brookside ct, pleasanton, ca 94588",Condo/Co-op,94588,940000,4,2,1928,2660,148,488,470.0,37.689374,-121.922526,40,9,6,1,134451,85.91,87.06,84.76,1,0
"4385 clovewood ln, pleasanton, ca 94588",Single Family Residential,94588,1036000,3,2,1355,7708,66,765,33.0,37.6801319,-121.9151098,55,9,6,1,134451,85.91,87.06,84.76,1,0
"4273 trolan ln, dublin, ca 94568",Single Family Residential,94568,1250000,4,4,3083,3058,143,405,232.0,37.737748,-121.8765253,4,8,11,1,119637,83.72,94.25,73.19,0,0
"3105 chardonnay dr, pleasanton, ca 94566",Single Family Residential,94566,1370000,4,2,2494,8125,126,549,0.0,37.6645079,-121.8495227,49,8,9,0,126782,80.07,79.57,80.57,1,0
"7370 yountville st, dublin, ca 94568",Single Family Residential,94568,1290000,4,4,3180,4477,123,406,232.0,37.7370129,-121.8775073,3,8,11,1,119637,83.72,94.25,73.19,0,0
"1586 foothill rd, pleasanton, ca 94588",Single Family Residential,94588,1492000,4,2,2482,22303,140,601,0.0,37.6419916,-121.8988167,46,9,6,1,134451,85.91,87.06,84.76,1,0
"3843 vineyard ave #15, pleasanton, ca 94566",Condo/Co-op,94566,421500,1,1,621,0,94,679,315.0,37.6649098,-121.863804,38,8,9,0,126782,80.07,79.57,80.57,1,0
"3417 smoketree commons dr, pleasanton, ca 94566",Condo/Co-op,94566,545000,2,2,856,0,36,637,420.0,37.6645106,-121.8556068,33,8,9,0,126782,80.07,79.57,80.57,1,0
"3443 cumberland gap ct, pleasanton, ca 94588",Single Family Residential,94588,985000,3,2,1386,6000,56,711,0.0,37.6756266,-121.9044851,50,9,6,1,134451,85.91,87.06,84.76,1,0
"453 los rios ct, pleasanton, ca 94566",Single Family Residential,94566,1765000,4,3,2710,8120,111,651,0.0,37.6518397,-121.874606,36,8,9,0,126782,80.07,79.57,80.57,1,0
"846 e angela st, pleasanton, ca 94566",Single Family Residential,94566,1391500,4,3,2920,7200,136,477,0.0,37.65424829999999,-121.8627989,21,8,9,0,126782,80.07,79.57,80.57,1,0
"942 clinton pl, pleasanton, ca 94566",Single Family Residential,94566,975000,3,2,1587,5758,14,614,144.0,37.6557977,-121.8595745,31,8,9,0,126782,80.07,79.57,80.57,1,0
"5622 san jose dr, pleasanton, ca 94566",Single Family Residential,94566,1202500,4,2,1909,7000,11,630,0.0,37.647788,-121.8738278,50,8,9,0,126782,80.07,79.57,80.57,1,0
"6486 alvord way, pleasanton, ca 94588",Single Family Residential,94588,849000,4,2,1607,6501,32,528,0.0,37.6889184,-121.9104644,53,9,6,1,134451,85.91,87.06,84.76,1,0
"7717 cottonwood ln, pleasanton, ca 94588",Single Family Residential,94588,1170000,3,2,1593,7789,133,734,32.0,37.6787749,-121.9197995,55,9,6,1,134451,85.91,87.06,84.76,1,0
"3908 petrified forest ct, pleasanton, ca 94588",Single Family Residential,94588,1032500,4,2,1549,6659,36,667,0.0,37.6746835,-121.9102866,51,9,6,1,134451,85.91,87.06,84.76,1,0
"4611 helpert ct, pleasanton, ca 94588",Single Family Residential,94588,1140000,3,2,1555,6200,15,733,0.0,37.687892,-121.9094642,53,9,6,1,134451,85.91,87.06,84.76,1,0
"4229 holland dr, pleasanton, ca 94588",Single Family Residential,94588,1100000,3,2,1372,6500,91,802,0.0,37.6797044,-121.9116869,50,9,6,1,134451,85.91,87.06,84.76,1,0
"7651 fairoaks dr, pleasanton, ca 94588",Single Family Residential,94588,1000000,3,2,1357,7294,126,737,0.0,37.6874092,-121.9242222,50,9,6,1,134451,85.91,87.06,84.76,1,0
"5375 springdale ave, pleasanton, ca 94588",Townhouse,94588,816000,3,2,1549,2660,67,527,470.0,37.6887169,-121.923965,48,9,6,1,134451,85.91,87.06,84.76,1,0
"3300 newport st, pleasanton, ca 94566",Single Family Residential,94566,1500000,3,4,2928,7844,3,512,225.0,37.680179,-121.859197,10,8,9,0,126782,80.07,79.57,80.57,1,0
"2623 corte vida, pleasanton, ca 94566",Single Family Residential,94566,1525000,4,2,2439,13069,129,625,0.0,37.6713455,-121.89801640000002,41,8,9,0,126782,80.07,79.57,80.57,1,0
"1820 paseo del cajon, pleasanton, ca 94566",Single Family Residential,94566,1469000,4,2,2630,6981,42,559,0.0,37.66959179999999,-121.8911028,53,8,9,0,126782,80.07,79.57,80.57,1,0
"5834 corte margarita, pleasanton, ca 94566",Single Family Residential,94566,1486000,3,2,1882,11039,22,790,0.0,37.6694548,-121.8953488,24,8,9,0,126782,80.07,79.57,80.57,1,0
"5764 belleza dr, pleasanton, ca 94588",Townhouse,94588,900000,4,3,1928,1369,4,467,295.0,37.6864289,-121.889158,26,9,6,1,134451,85.91,87.06,84.76,1,0
"2749 camino casa buena, pleasanton, ca 94566",Single Family Residential,94566,1470000,4,2,2489,6626,64,591,0.0,37.671192,-121.90244009999998,30,8,9,0,126782,80.07,79.57,80.57,1,0
"2478 raven rd, pleasanton, ca 94566",Single Family Residential,94566,1220000,4,2,1882,6825,31,648,0.0,37.68043220000001,-121.8824323,53,8,9,0,126782,80.07,79.57,80.57,1,0
"1507 poppybank, pleasanton, ca 94566",Single Family Residential,94566,1060000,4,2,2030,2850,50,522,276.0,37.679921,-121.867122,31,8,9,0,126782,80.07,79.57,80.57,1,0
"4604 ross gate way, pleasanton, ca 94566",Single Family Residential,94566,1100000,4,2,1815,6921,128,606,0.0,37.6840193,-121.880209,45,8,9,0,126782,80.07,79.57,80.57,1,0
"2769 hartley gate ct, pleasanton, ca 94566",Single Family Residential,94566,1250000,4,3,2179,8317,65,574,0.0,37.6874711,-121.8815429,36,8,9,0,126782,80.07,79.57,80.57,1,0
"3715 oak brook ct, pleasanton, ca 94588",Single Family Residential,94588,1083000,3,2,1668,6200,142,649,33.0,37.6971474,-121.86629,46,9,6,1,134451,85.91,87.06,84.76,1,0
"3858 stratford ct, pleasanton, ca 94588",Single Family Residential,94588,1041000,3,2,1498,8389,156,695,32.0,37.6977799,-121.8682912,36,9,6,1,134451,85.91,87.06,84.76,1,0
"4284 diavila ave, pleasanton, ca 94588",Single Family Residential,94588,1098000,3,2,1850,3350,102,594,125.0,37.6886815,-121.8754064,28,9,6,1,134451,85.91,87.06,84.76,1,0
"7745 capewood pl, pleasanton, ca 94588",Single Family Residential,94588,1118000,4,2,1593,8630,4,702,33.0,37.6813075,-121.9215108,56,9,6,1,134451,85.91,87.06,84.76,1,0
"4075 st helena way, dublin, ca 94568",Single Family Residential,94568,1105000,4,2,2069,2851,21,534,237.0,37.736513,-121.873423,3,8,11,1,119637,83.72,94.25,73.19,0,0
"7710 canyon meadow cir unit c, pleasanton, ca 94588",Condo/Co-op,94588,440000,1,1,790,0,43,557,423.0,37.6973601,-121.9492829,30,9,6,1,134451,85.91,87.06,84.76,1,0
"10885 mcpeak ln, dublin, ca 94568",Townhouse,94568,725000,3,2,1387,5806,51,523,325.0,37.6996796,-121.9568651,24,8,11,1,119637,83.72,94.25,73.19,0,0
"435 del sol ave, pleasanton, ca 94566",Single Family Residential,94566,1060000,3,2,1514,6507,108,700,0.0,37.6587138,-121.8690473,46,8,9,0,126782,80.07,79.57,80.57,1,0
"216 spring st, pleasanton, ca 94566",Single Family Residential,94566,1175000,4,2,2498,3900,46,470,0.0,37.6624155,-121.8735387,22,8,9,0,126782,80.07,79.57,80.57,1,0
"5432 san juan way, pleasanton, ca 94566",Single Family Residential,94566,1080000,3,2,1476,7042,122,732,0.0,37.6499171,-121.8771407,57,8,9,0,126782,80.07,79.57,80.57,1,0
"3572 whitehall ct, pleasanton, ca 94588",Single Family Residential,94588,1180000,4,3,2140,7284,136,551,33.0,37.698566,-121.867046,37,9,6,1,134451,85.91,87.06,84.76,1,0
"3689 woodbine way, pleasanton, ca 94588",Townhouse,94588,745000,4,2,1541,1050,126,483,225.0,37.700187,-121.866362,42,9,6,1,134451,85.91,87.06,84.76,1,0
"4019 rennellwood way, pleasanton, ca 94566",Single Family Residential,94566,820000,3,2,1280,3486,81,641,0.0,37.6789881,-121.8700701,40,8,9,0,126782,80.07,79.57,80.57,1,0
"3895 northwood ct, pleasanton, ca 94588",Single Family Residential,94588,1090000,4,2,2000,7702,73,545,0.0,37.6699818,-121.9145319,53,9,6,1,134451,85.91,87.06,84.76,1,0
"6650 via san blas, pleasanton, ca 94566",Single Family Residential,94566,1337000,4,2,2469,7148,59,542,31.0,37.6672939,-121.900973,50,8,9,0,126782,80.07,79.57,80.57,1,0
"2265 camino brazos, pleasanton, ca 94566",Single Family Residential,94566,1270000,4,2,1930,6700,45,658,0.0,37.6679307,-121.8942595,50,8,9,0,126782,80.07,79.57,80.57,1,0
"78 sunflower hill way, pleasanton, ca 94566",Single Family Residential,94566,1280000,4,3,2434,2527,24,526,189.0,37.6668706,-121.8650273,1,8,9,0,126782,80.07,79.57,80.57,1,0
"2690 minton ct, pleasanton, ca 94566",Single Family Residential,94566,1403000,4,3,2342,6636,25,599,150.0,37.6605722,-121.9063967,27,8,9,0,126782,80.07,79.57,80.57,1,0
"3024 bolero ct, pleasanton, ca 94588",Townhouse,94588,965000,4,3,1928,1369,24,501,295.0,37.6873379,-121.885758,27,9,6,1,134451,85.91,87.06,84.76,1,0
"4634 ithaca way, pleasanton, ca 94588",Townhouse,94588,710000,4,2,1474,1027,142,482,292.0,37.691042,-121.88088,48,9,6,1,134451,85.91,87.06,84.76,1,0
"4992 wingate dr, pleasanton, ca 94566",Single Family Residential,94566,1440000,4,2,2167,9049,91,665,0.0,37.6727364,-121.8836995,55,8,9,0,126782,80.07,79.57,80.57,1,0
"115 ray st, pleasanton, ca 94566",Condo/Co-op,94566,655000,3,2,1371,0,111,478,0.0,37.6635415,-121.8714499,34,8,9,0,126782,80.07,79.57,80.57,1,0
"5932 corte cerritos, pleasanton, ca 94566",Single Family Residential,94566,1052000,3,2,1745,6628,70,603,0.0,37.6731848,-121.8996781,36,8,9,0,126782,80.07,79.57,80.57,1,0
"2720 camino segura, pleasanton, ca 94566",Single Family Residential,94566,1560000,5,3,2613,7375,24,597,0.0,37.6703604,-121.9010396,34,8,9,0,126782,80.07,79.57,80.57,1,0
"6140 corte padre, pleasanton, ca 94566",Single Family Residential,94566,810000,2,2,1241,4790,168,653,0.0,37.670448,-121.899817,35,8,9,0,126782,80.07,79.57,80.57,1,0
"4890 cobbler ct, pleasanton, ca 94566",Single Family Residential,94566,1850000,4,2,3602,15920,133,514,0.0,37.6544512,-121.8676019,37,8,9,0,126782,80.07,79.57,80.57,1,0
"665 palomino dr unit a, pleasanton, ca 94566",Townhouse,94566,610000,2,2,1198,1521,25,509,440.0,37.660421,-121.856628,36,8,9,0,126782,80.07,79.57,80.57,1,0
"584 tawny dr, pleasanton, ca 94566",Single Family Residential,94566,1300000,4,2,1964,11700,22,662,0.0,37.66364179999999,-121.852903,47,8,9,0,126782,80.07,79.57,80.57,1,0
"194 peters ave unit c, pleasanton, ca 94566",Condo/Co-op,94566,549999,2,2,878,0,4,626,425.0,37.659663,-121.878069,32,8,9,0,126782,80.07,79.57,80.57,1,0
"1664 calle santiago, pleasanton, ca 94566",Townhouse,94566,690000,2,2,941,2003,120,733,450.0,37.66912,-121.887485,50,8,9,0,126782,80.07,79.57,80.57,1,0
