property_type,zipcode,price,beds,baths,sqft,lot_size,days_on_market,price_per_sqft,hoa_month,property_age,school_rating,school_count,median_income,hotness_score,supply_score,demand_score,university_count,barts,malls,universities,bedBath,AvgRoomSize
1,94568,905000,3,4,1994,0,80,454,388.0,3,8,11,119637,83.72,94.25,73.19,0,1,0,0,12,284.857
2,94566,645000,2,2,1221,1237,143,528,379.0,35,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,305.25
1,94588,940000,4,2,1928,2660,148,488,470.0,40,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,321.333
0,94588,1036000,3,2,1355,7708,66,765,33.0,55,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,271.0
0,94568,1250000,4,4,3083,3058,143,405,232.0,4,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,385.375
0,94566,1370000,4,2,2494,8125,126,549,0.0,49,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,415.667
0,94568,1290000,4,4,3180,4477,123,406,232.0,3,8,11,119637,83.72,94.25,73.19,0,1,0,0,16,397.5
0,94588,1492000,4,2,2482,22303,140,601,0.0,46,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,413.667
1,94566,421500,1,1,621,0,94,679,315.0,38,8,9,126782,80.07,79.57,80.57,0,0,1,0,1,310.5
1,94566,545000,2,2,856,0,36,637,420.0,33,8,9,126782,80.07,79.57,80.57,0,0,1,0,4,214.0
0,94588,985000,3,2,1386,6000,56,711,0.0,50,9,6,134451,85.91,87.06,84.76,0,1,1,0,6,277.2
0,94566,1765000,4,3,2710,8120,111,651,0.0,36,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,387.143
0,94566,1391500,4,3,2920,7200,136,477,0.0,21,8,9,126782,80.07,79.57,80.57,0,0,1,0,12,417.143
0,94566,975000,3,2,1587,5758,14,614,144.0,31,8,9,126782,80.07,79.57,80.57,0,0,1,0,6,317.4
0,94566,1202500,4,2,1909,7000,11,630,0.0,50,8,9,126782,80.07,79.57,80.57,0,0,1,0,8,318.167
0,94588,849000,4,2,1607,6501,32,528,0.0,53,9,6,134451,85.91,87.06,84.76,0,1,1,0,8,267.833
