Rank,Median Household Income,Zip , Population
1,236912,94027 ,"7,230"
2,228587,92145 ,"1,968"
3,200325,91980 ,631
4,187857,94957 ,"1,063"
5,182750,94022 ,"19,737"
6,180174,94028 ,"6,720"
7,176241,94506 ,"21,896"
8,172443,90077 ,"8,328"
9,170656,94105 ,"6,282"
10,167546,94024 ,"22,573"
11,167386,95070 ,"31,093"
12,166750,95140 ,233
13,166147,94563 ,"18,284"
14,163486,92657 ,"9,751"
15,163219,94507 ,"15,973"
16,162328,94528 ,915
17,157938,90272 ,"23,497"
18,157879,91210 ,614
19,156250,90274 ,"25,482"
20,154107,95030 ,"13,429"
21,153269,94074 ,320
22,152721,95120 ,"37,673"
23,152210,91011 ,"20,671"
24,150864,92861 ,"5,911"
25,149821,95007 ,727
26,149538,92679 ,"32,822"
27,147568,94037 ,"2,880"
28,145610,94708 ,"11,143"
29,145505,95138 ,"19,136"
30,144886,94129 ,"3,334"
31,144152,94539 ,"51,459"
32,142071,90266 ,"35,534"
33,138750,90210 ,"21,478"
34,138371,94582 ,"39,721"
35,137344,94549 ,"28,298"
36,137122,92694 ,"24,568"
37,136331,94707 ,"12,402"
38,135076,96136 ,135
39,134907,94301 ,"16,927"
40,133333,95053 ,"2,730"
41,133088,94556 ,"15,505"
42,132826,94552 ,"15,209"
43,132486,94920 ,"12,583"
44,132462,94065 ,"11,585"
45,131607,90402 ,"11,503"
46,131166,92130 ,"50,280"
47,131108,94127 ,"19,356"
48,130961,95014 ,"62,478"
49,128802,94526 ,"32,274"
50,128654,95135 ,"21,349"
51,128060,91436 ,"14,563"
52,127684,94588 ,"31,910"
53,126984,92887 ,"20,071"
54,126557,94062 ,"27,014"
55,126397,95033 ,"9,628"
56,125735,92625 ,"12,572"
57,125629,92673 ,"29,875"
58,125335,94070 ,"29,879"
59,125272,93108 ,"12,119"
60,124814,90265 ,"17,660"
61,124712,92823 ,"2,960"
62,124375,95663 ,"2,485"
63,123575,94618 ,"17,007"
64,123459,92127 ,"41,900"
65,122970,94114 ,"32,229"
66,122354,94087 ,"55,229"
67,121948,94583 ,"35,272"
68,121715,91302 ,"25,165"
69,121367,94517 ,"12,781"
70,121337,94598 ,"26,974"
71,121209,94941 ,"30,605"
72,121200,94123 ,"25,528"
73,120984,92610 ,"11,799"
74,120893,95032 ,"25,898"
75,120742,90275 ,"42,420"
76,120686,92603 ,"20,173"
77,120672,93730 ,"10,137"
78,120610,94107 ,"27,792"
79,120401,94566 ,"42,523"
80,120208,95041 ,146
81,120152,91108 ,"13,613"
82,119939,92067 ,"9,020"
83,119924,92131 ,"33,868"
84,119095,94025 ,"40,945"
85,118919,95746 ,"23,715"
86,118750,91708 ,"3,447"
87,118125,94010 ,"42,223"
88,117700,95762 ,"40,603"
89,117326,91377 ,"14,512"
90,116855,95054 ,"23,914"
91,116732,90049 ,"35,262"
92,115807,94402 ,"24,306"
93,114779,94404 ,"35,045"
94,114777,92014 ,"13,525"
95,114757,95134 ,"16,811"
96,114608,91381 ,"20,296"
