X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,DISTRICTID,FT_TEACHER,SHELTER_ID
-13510876.88,4665941.578,10,60143213940,PARAMOUNT COLLEGIATE ACADEMY,4010 EL CAMINO AVE.,SACRAMENTO,CA,95821,6602,(916) 484-1480,1,1,77,SACRAMENTO,6067,USA,38.60986795,-121.370272,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060143213940,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.pcaeducation.org,HIGH,76,6,12,601432,1,NOT AVAILABLE
-13322124.52,4156228.095,11,60143613948,OLIVE GROVE CHARTER,4500 HIGHWAY 166,NEW CUYAMA,CA,93254,9720,(805) 623-1111,1,1,544,SANTA BARBARA,6083,USA,34.94366514,-119.6746808,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060143613948,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.olivegrovecharter.org,OTHER,521,KG,12,601436,23,NOT AVAILABLE
-13612750.75,4547977.423,12,60177013871,THE ACADEMY OF ALAMEDA ELEMENTARY,401 PACIFIC AVE.,ALAMEDA,CA,94501,1837,(510) 748-4017,1,1,211,ALAMEDA,6001,USA,37.7770448,-122.2854205,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060177013871,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.aoaschools.org,ELEMENTARY,203,KG,5,601770,8,NOT AVAILABLE
-13408470.44,4153714.967,13,60558013869,JIM?NEZ ROBERTO AND DR. FRANCISCO ELEMENTARY SCHOOL,1970 S. BISCAYNE ST.,SANTA MARIA,CA,93458,3411,(805) 361-8112,1,1,1007,SANTA BARBARA,6083,USA,34.92515731,-120.4503393,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060558013869,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.smbsd.org,ELEMENTARY,969,KG,6,605580,38,NOT AVAILABLE
-13174788.11,4052775.246,14,60645013886,BURBANK UNIFIED INDEPENDENT LEARNING ACADEMY (BUILA),3715 ALLAN AVE.,BURBANK,CA,91505,NOT AVAILABLE,(818) 558-5353,4,1,95,LOS ANGELES,6037,USA,34.17834968,-118.3511352,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=060645013886,10/23/2018 0:00,IMAGERY/OTHER,10/24/2018 0:00,http://www.burbankusd.org,HIGH,93,7,12,606450,2,NOT AVAILABLE
-13599126.46,4545260.629,15,62805013864,CASTLEMONT PRIMARY ACADEMY,8711 MACARTHUR BLVD.,OAKLAND,CA,94605,4000,(510) 457-6900,1,2,-999,ALAMEDA,6001,USA,37.75775227,-122.1630315,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062805013864,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.cctschools.org,NOT REPORTED,-999,M,M,628050,-999,NOT AVAILABLE
-13598457.46,4544371.158,16,62805013942,FRANCOPHONE CHARTER SCHOOL OF OAKLAND,9736 LAWLOR ST.,OAKLAND,CA,94605,4735,(510) 394-4110,1,1,200,ALAMEDA,6001,USA,37.75143485,-122.1570218,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062805013942,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.francophoneschool.wordpress.com,ELEMENTARY,190,KG,8,628050,10,NOT AVAILABLE
-13143103.21,4106372.57,17,62958013949,INNOVATIONS ACADEMY OF PALMDALE,38136 35TH ST. E.,PALMDALE,CA,93550,5003,(661) 265-8908,4,1,57,LOS ANGELES,6037,USA,34.57572695,-118.066505,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=062958013949,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://www.palmdalesd.org/domain/33,ELEMENTARY,55,KG,8,629580,2,NOT AVAILABLE
-13485278.63,4505626.885,18,63003013962,OPEN VALLEY INDEPENDENT STUDY,535 PEREGRINE DR.,PATTERSON,CA,95363,2232,(209) 892-4745,4,1,71,STANISLAUS,6099,USA,37.47573276,-121.1403191,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=063003013962,10/23/2018 0:00,IMAGERY/OTHER,10/25/2018 0:00,http://patterson.k12.ca.us/ovis/,OTHER,69,KG,12,630030,2,NOT AVAILABLE
-13513842.06,4418854.218,19,69102813911,PINNACLES COMMUNITY,3230 S.SIDE RD.,HOLLISTER,CA,95023,9174,(831) 636-2870,4,1,11,SAN BENITO,6069,USA,36.85456394,-121.3969087,611110,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Public&ID=069102813911,10/23/2018 0:00,IMAGERY/OTHER,3/20/2020 0:00,http://www.sbcoe.org,HIGH,10,5,12,691028,1,NOT AVAILABLE
