month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202011,94607,"oakland, ca",3432,9029,-703,-4708,31.017005,57.29234794,4.741661216,49.5,0.2073,8.5,0.375,13.5,-8,-0.26,-0.3273,0.3033,692050,0.0029,0.0044,1.987
202011,94087,"sunnyvale, ca",480,5887,854,-1431,51.847613,93.32079791,10.37442773,30.5,0.0167,0.5,-0.2179,-8.5,-27,0,-0.0714,0.4262,1895049.5,-0.0516,0.0706,5.4413
202011,94520,"concord, ca",2603,170,114,149,95.801995,97.1795291,94.42446043,25.5,0.1591,3.5,-0.3625,-14.5,-32,0.014,0.9079,2.377,568050,0.0403,0.1362,1.631
202011,95054,"santa clara, ca",4894,7732,854,-4219,40.295945,69.51438849,11.07750164,44,0.0476,2,-0.12,-6,-13.5,0.102,-0.3077,0.4426,743994,-0.0677,-0.4469,2.1362
202011,94706,"albany, ca",5769,6382,-411,-4649,49.076194,78.65434925,19.49803793,39.5,0.197,6.5,-0.1023,-4.5,-18,-0.1173,-0.2474,0.5861,549550,-0.0669,-0.0826,1.5778
202011,95117,"san jose, ca",3304,5894,2722,1738,51.814912,91.12164814,12.50817528,32.5,-0.2262,-9.5,-0.3367,-16.5,-25,0.1979,0.4375,0.4713,1098994,-1.00E-04,-1.00E-04,3.1555
202011,94549,"lafayette, ca",3882,2542,-900,-650,73.221877,74.73839111,71.70536298,41.5,0.66,16.5,-0.2589,-14.5,-16,-0.0198,0.3346,1.4221,2049050,-0.0191,0.1712,5.8835
202011,94086,"sunnyvale, ca",635,6263,-297,-3706,49.713865,93.97482014,5.452910399,30,0.4286,9,-0.1176,-4,-27.5,-0.2255,-0.4437,0.3238,1532550,0.0954,0.161,4.4004
202011,94521,"concord, ca",1439,619,-55,143,89.417103,93.32079791,85.51340746,30.5,0.0893,2.5,-0.337,-15.5,-27,-0.1654,0.5634,1.8197,659550,0.0148,0.0469,1.8937
202011,94551,"livermore, ca",1974,514,-103,181,90.761936,83.92740353,97.59646828,37,0.2333,7,-0.1591,-7,-20.5,0.0087,1.597,2.8525,805000,0.0734,0.0747,2.3113
202011,94804,"richmond, ca",1901,4206,-1458,-1839,61.944081,90.50032701,33.38783519,33,0.5,11,-0.1316,-5,-24.5,-0.282,0.2403,0.7828,570050,0.0179,0.2153,1.6367
202011,94803,"el sobrante, ca",4742,1028,588,-470,85.423479,86.55166776,84.29529104,35.5,-0.0139,-0.5,-0.1744,-7.5,-22,-0.0865,0.5464,1.7746,612525,-0.0429,-0.02,1.7587
202011,94518,"concord, ca",3998,400,-42,346,92.172171,94.46533682,89.87900589,29.5,0.2826,6.5,-0.3587,-16.5,-28,-0.0916,0.7343,2.0328,707500,-0.0567,0.1054,2.0314
202011,94605,"oakland, ca",1418,3293,1038,-1313,67.920209,80.8616743,54.97874428,38.5,0.0694,2.5,-0.1047,-4.5,-19,0.0152,0.5227,1.0984,629550,-0.03,-0.0314,1.8076
202011,94563,"orinda, ca",6671,3945,477,823,63.583224,72.42478744,54.74166122,42.5,0.1184,4.5,-0.3657,-24.5,-15,-0.0326,0.3906,1.0943,2169550,-0.0114,0.0875,6.2295
202011,94603,"oakland, ca",4769,5722,-747,-4964,52.783682,74.73839111,30.82897319,41.5,0.0641,2.5,0.1857,6.5,-16,-0.2795,-0.1449,0.75,544950,0.0653,0.1008,1.5646
202011,94541,"hayward, ca",334,2114,-39,-1365,76.299869,65.17331589,87.4264225,46,0.1795,7,0.0698,3,-11.5,0.0065,0.852,1.8975,737050,0.0096,0.134,2.1162
202011,94595,"walnut creek, ca",4345,4932,958,-3821,57.63571,83.04447351,32.22694572,37.5,-0.0385,-1.5,0.0714,2.5,-20,-0.1179,-0.0361,0.7664,550050,0.0018,0.0018,1.5793
