SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-15-2020,Condo/Co-op,6985 Calistoga Ln,Dublin,CA,94568,905000,3,3.5,Dublin,1994,,2018,80,454,388,Sold,,,http://www.redfin.com/CA/Dublin/6985-Calistoga-Ln-94568/home/145629331,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40913526,N,Y,37.733978,-121.872736
PAST SALE,July-14-2020,Townhouse,270 Birch Creek Dr,Pleasanton,CA,94566,645000,2,2.5,Birch Creek,1221,1237,1986,143,528,379,Sold,,,http://www.redfin.com/CA/Pleasanton/270-Birch-Creek-Dr-94566/home/952158,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40904432,N,Y,37.663585,-121.864563
PAST SALE,July-9-2020,Condo/Co-op,5324 Brookside Ct,Pleasanton,CA,94588,940000,4,2.5,Pleasanton,1928,2660,1981,148,488,470,Sold,,,http://www.redfin.com/CA/Pleasanton/5324-Brookside-Ct-94588/home/995109,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908137,N,Y,37.689374,-121.922526
PAST SALE,September-29-2020,Single Family Residential,4385 Clovewood Ln,Pleasanton,CA,94588-4431,1036000,3,2,Highland Oaks,1355,7708,1966,66,765,33,Sold,,,http://www.redfin.com/CA/Pleasanton/4385-Clovewood-Ln-94588/home/1168460,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40917979,N,Y,37.6801319,-121.9151098
PAST SALE,July-14-2020,Single Family Residential,4273 Trolan Ln,Dublin,CA,94568,1250000,4,4,Dublin,3083,3058,2017,143,405,232,Sold,,,http://www.redfin.com/CA/Dublin/4273-Trolan-Ln-94568/home/112887124,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40905106,N,Y,37.737748,-121.8765253
PAST SALE,July-31-2020,Single Family Residential,3105 Chardonnay Dr,Pleasanton,CA,94566,1370000,4,2.5,Pleasanton,2494,8125,1972,126,549,,Sold,,,http://www.redfin.com/CA/Pleasanton/3105-Chardonnay-Dr-94566/home/1494821,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40903904,N,Y,37.6645079,-121.8495227
PAST SALE,August-3-2020,Single Family Residential,7370 Yountville St,Dublin,CA,94563-4711,1290000,4,4,Dublin,3180,4477,2018,123,406,232,Sold,,,http://www.redfin.com/CA/Dublin/7370-Yountville-St-94568/home/143118771,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40908647,N,Y,37.7370129,-121.8775073
PAST SALE,July-17-2020,Single Family Residential,1586 Foothill Rd,Pleasanton,CA,94588,1492000,4,2,Foothill Road,2482,22303,1975,140,601,,Sold,,,http://www.redfin.com/CA/Pleasanton/1586-Foothill-Rd-94588/home/1773613,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40902459,N,Y,37.6419916,-121.8988167
PAST SALE,September-1-2020,Condo/Co-op,3843 Vineyard Ave #15,Pleasanton,CA,94566,421500,1,1,Shadow Creek,621,,1983,94,679,315,Sold,,,http://www.redfin.com/CA/Pleasanton/3843-Vineyard-Ave-94566/unit-15/home/870644,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40912329,N,Y,37.6649098,-121.863804
PAST SALE,October-29-2020,Condo/Co-op,3417 Smoketree Commons Dr,Pleasanton,CA,94566,545000,2,2,Smoketree Common,856,,1988,36,637,420,Sold,,,http://www.redfin.com/CA/Pleasanton/3417-Smoketree-Commons-Dr-94566/unit-147/home/1911779,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40917094,N,Y,37.6645106,-121.8556068
